abbreviation,Formula,Description,Compartment,Charge,bigg_name,ModelSEED,New_ID,Comments,,,,
sali_e,C13H18O7,Salicin_e,e,0,salcn,,,,,,,
salcn6p_c,C13H17O10P,Salicin6-phosphate,c,-2,salcn6p,,,,,,,
c04534_c,C12H23O14P,Cellobiose6-phosphate ,c,-2,cellb6p,,,,,,,
glc_c,C6H12O6,D-Glucose,c,0,glc__D,,,,,,,
g1p_c,C6H11O9P,D-Glucose1-phosphate,c,-1,g1p,,,,,,,
13pdg_c,C3H4O10P2,3-Phospho-D-glyceroylphosphate,c,-4,13dpg,,,,,,,
2pg_c,C3H4O7P,2-Phospho-D-glycerate,c,-3,2pg,,,,,,,
lac_c,C3H5O3,L-Lactate,c,-1,lac__L,,,,,,,
etol_c,C2H6O,Ethanol,c,0,etoh,,,,,,,
cit_c,C6H5O7,Citrate,c,-3,cit,,,,,,,
icit_c,C6H5O7,Isocitrate,c,-3,icit,,,,,,,
c05379_c,C6H6O7,Oxalosuccinate ,c,-2,osuc,,,,,,,
c05381_c,C16H25N4O10P2S,3-Carboxy-1-hydroxypropyl-ThPP ,c,-2,HC01435,,,,,,,
c15972_c,C8H14NOS2R,EnzymeN6-(lipoyl)lysine ,c,0,lpam,,,,,,,
c16254_c,C12H20NO4S2R,_Dihydrolipoyllysine-residuesuccinyltransferaseS-succinyldihydrolipoyllysine ,c,0,HC00695,,,,,,,
thdp_c,C12H16N4O7P2S,Thiamindiphosphate,c,-2,thmpp,,,,,,,
c15973_c,C8H16NOS2R,EnzymeN6-(dihydrolipoyl)lysine ,c,0,C02147,,,,,,,
ofer_c,X,Oxidizedferredoxin,c,0,fdxox,,,,,,,
rfer_c,XH2,Reducedferredoxin,c,0,fdxrd,,,,,,,
mal_c,C4H4O5,(S)-Malate,c,-2,mal__L,,,,,,,
d6pgl_c,C6H9O9P,"D-Glucono-1,5-lactone6-phosphate",c,-2,6pgl,,,,,,,
d6pgc_c,C6H10O10P,6-Phospho-D-gluconate,c,-3,6pgc,,,,,,,
